date,home_team,away_team,home_score,away_score,result,p_A,p_D,p_H,predicted,correct
2026-06-26,New Zealand,Belgium,1.0,5.0,A,0.7001003,0.15060233,0.14929737,A,True
2026-06-26,Egypt,Iran,1.0,1.0,D,0.38567036,0.27513188,0.3391978,A,False
2026-06-26,Cape Verde,Saudi Arabia,0.0,0.0,D,0.34323445,0.30171847,0.3550471,H,False
2026-06-27,Algeria,Austria,3.0,3.0,D,0.39531568,0.25597858,0.34870577,A,False
2026-06-27,Jordan,Argentina,1.0,3.0,A,0.8665012,0.05182177,0.08167704,A,True
2026-06-27,Colombia,Portugal,0.0,0.0,D,0.3312304,0.29209,0.37667954,H,False
2026-06-27,DR Congo,Uzbekistan,3.0,1.0,H,0.34239605,0.2719573,0.38564667,H,True
2026-06-27,Panama,England,0.0,2.0,A,0.72781605,0.1513784,0.12080561,A,True
2026-06-27,Croatia,Ghana,2.0,1.0,H,0.10575258,0.22012915,0.6741183,H,True
2026-06-28,South Africa,Canada,0.0,1.0,A,0.5284414,0.24742348,0.22413512,A,True
2026-06-29,Netherlands,Morocco,1.0,1.0,D,0.3676728,0.26860073,0.36372647,A,False
2026-06-29,Brazil,Japan,2.0,1.0,H,0.28821158,0.24250369,0.4692847,H,True
2026-06-29,Germany,Paraguay,1.0,1.0,D,0.21819542,0.22558357,0.556221,H,False
2026-06-30,Ivory Coast,Norway,1.0,2.0,A,0.5061738,0.25761333,0.2362129,A,True
2026-06-30,France,Sweden,3.0,0.0,H,0.08227355,0.15508015,0.76264626,H,True
2026-06-30,Mexico,Ecuador,2.0,0.0,H,0.19309242,0.26341677,0.5434908,H,True
2026-07-01,England,DR Congo,2.0,1.0,H,0.10972277,0.1624812,0.7277961,H,True
2026-07-01,Belgium,Senegal,3.0,2.0,H,0.25426912,0.2459606,0.49977034,H,True
2026-07-01,United States,Bosnia and Herzegovina,2.0,0.0,H,0.088361286,0.18189012,0.72974855,H,True
2026-07-02,Portugal,Croatia,2.0,1.0,H,0.2448415,0.24803257,0.5071259,H,True
2026-07-02,Spain,Austria,3.0,0.0,H,0.11942601,0.16434382,0.71623015,H,True
2026-07-02,Switzerland,Algeria,2.0,0.0,H,0.25991026,0.25980073,0.480289,H,True
2026-07-03,Colombia,Ghana,1.0,0.0,H,0.07603666,0.15013131,0.77383196,H,True
2026-07-03,Australia,Egypt,1.0,1.0,D,0.29253736,0.27917936,0.42828327,H,False
2026-07-03,Argentina,Cape Verde,3.0,2.0,H,0.050489925,0.14813757,0.8013725,H,True
2026-07-04,Canada,Morocco,0.0,3.0,A,0.527512,0.25354415,0.21894382,A,True
2026-07-04,Paraguay,France,0.0,1.0,A,0.7102603,0.17051573,0.11922395,A,True
2026-07-05,Mexico,England,2.0,3.0,A,0.31669536,0.24750595,0.43579865,H,False
2026-07-05,Brazil,Norway,1.0,2.0,A,0.26560566,0.23243716,0.5019572,H,False
2026-07-06,United States,Belgium,1.0,4.0,A,0.40068334,0.2573553,0.34196138,A,True
2026-07-06,Argentina,Egypt,3.0,2.0,H,0.11070259,0.17959802,0.7096994,H,True
2026-07-06,Portugal,Spain,0.0,1.0,A,0.5366443,0.22837219,0.23498352,A,True
2026-07-06,Switzerland,Colombia,0.0,0.0,D,0.46446678,0.2466992,0.28883404,A,False
2026-07-09,France,Morocco,2.0,0.0,H,0.2754338,0.23506552,0.4895007,H,True
2026-07-10,Spain,Belgium,2.0,1.0,H,0.23864932,0.24460337,0.5167473,H,True
